project_id,week_ending,RAG_status,schedule_variance_days,planned_spend_to_date,actual_spend_to_date,budget_variance_pct
P013,08/06/2026,Green,3,358200,341200,-4.75%
P013,15/06/2026,Green,3,312000,319600,2.44%
P013,22/06/2026,Amber,1,114000,112300,-1.49%
P013,29/06/2026,Amber,0,312000,320300,2.66%
P013,06/07/2026,Amber,0,198000,255500,29.04%
P013,13/07/2026,Amber,-4,468000,475300,1.56%
P013,20/07/2026,Amber,-6,103600,100400,-3.09%
P014,18/05/2026,Green,0,504000,498100,-1.17%
P014,25/05/2026,Green,-1,119200,134400,12.75%
P014,01/06/2026,Green,0,154000,149300,-3.05%
P014,08/06/2026,Green,2,377400,354700,-6.01%
P014,15/06/2026,Green,4,336000,332200,-1.13%
P014,22/06/2026,Green,4,108300,104900,-3.14%
P014,29/06/2026,Green,4,336000,341100,1.52%
P014,06/07/2026,Green,5,209000,265400,26.99%
P014,13/07/2026,Green,7,504000,469200,-6.90%
P014,20/07/2026,Green,8,105300,107300,1.90%
P015,18/05/2026,Green,2,540000,504300,-6.61%
P015,25/05/2026,Green,4,122400,146500,19.69%
P015,01/06/2026,Green,3,165000,170100,3.09%
P015,08/06/2026,Green,3,396600,395800,-0.20%
P015,15/06/2026,Green,4,360000,357400,-0.72%
P015,22/06/2026,Green,3,102500,102100,-0.39%
P015,29/06/2026,Green,2,360000,357200,-0.78%
P015,06/07/2026,Green,1,220000,283300,28.77%
P015,13/07/2026,Green,2,540000,497700,-7.83%
P015,20/07/2026,Green,1,107000,102300,-4.39%
